Time,Distance
2023-04-20 06:17:26.298182,3.48407
2023-04-20 06:17:26.299182,3.49029
2023-04-20 06:17:26.300182,3.49029
2023-04-20 06:17:26.301182,3.49029
2023-04-20 06:17:26.302182,3.49029
2023-04-20 06:17:26.303182,3.49029
2023-04-20 06:17:26.304182,3.48718
2023-04-20 06:17:26.305182,3.47784
2023-04-20 06:17:26.306182,3.46538
2023-04-20 06:17:26.307182,3.44982
2023-04-20 06:17:26.308182,3.43114
2023-04-20 06:17:26.309182,3.41245
2023-04-20 06:17:26.310182,3.38755
2023-04-20 06:17:26.311182,3.35952
2023-04-20 06:17:26.312182,3.32527
2023-04-20 06:17:26.313182,3.29414
2023-04-20 06:17:26.314182,3.25678
2023-04-20 06:17:26.315182,3.21941
2023-04-20 06:17:26.316182,3.17582
2023-04-20 06:17:26.317182,3.12912
2023-04-20 06:17:26.318182,3.0793
2023-04-20 06:17:26.319182,3.02949
2023-04-20 06:17:26.320182,2.97656
2023-04-20 06:17:26.321182,2.9174
2023-04-20 06:17:26.322182,2.86136
2023-04-20 06:17:26.323182,2.79908
2023-04-20 06:17:26.324182,2.7337
2023-04-20 06:17:26.325182,2.6652
2023-04-20 06:17:26.326182,2.59982
2023-04-20 06:17:26.327182,2.53132
2023-04-20 06:17:26.328182,2.45971
2023-04-20 06:17:26.329182,2.39121
2023-04-20 06:17:26.330182,2.31648
2023-04-20 06:17:26.331182,2.24487
2023-04-20 06:17:26.332182,2.17015
2023-04-20 06:17:26.333182,2.09231
2023-04-20 06:17:26.334182,2.01447
2023-04-20 06:17:26.335182,1.93352
2023-04-20 06:17:26.336182,1.85256
2023-04-20 06:17:26.337182,1.77473
2023-04-20 06:17:26.338182,1.69066
2023-04-20 06:17:26.339182,1.60971
2023-04-20 06:17:26.340182,1.52875
2023-04-20 06:17:26.341182,1.4478
2023-04-20 06:17:26.342182,1.36685
2023-04-20 06:17:26.343182,1.2859
2023-04-20 06:17:26.344182,1.20183
2023-04-20 06:17:26.345182,1.11465
2023-04-20 06:17:26.346182,1.02436
2023-04-20 06:17:26.347182,0.93718
2023-04-20 06:17:26.348182,0.84689
2023-04-20 06:17:26.349182,0.75971
2023-04-20 06:17:26.350182,0.66941
2023-04-20 06:17:26.351182,0.57912
2023-04-20 06:17:26.352182,0.48571
2023-04-20 06:17:26.353182,0.39231
2023-04-20 06:17:26.354182,0.2989
2023-04-20 06:17:26.355182,0.20549
2023-04-20 06:17:26.356182,0.11209
2023-04-20 06:17:26.357182,0.01868
2023-04-20 06:17:26.358182,-0.07473
2023-04-20 06:17:26.359182,-0.1619
2023-04-20 06:17:26.360182,-0.2522
2023-04-20 06:17:26.361182,-0.33938
2023-04-20 06:17:26.362182,-0.42967
2023-04-20 06:17:26.363182,-0.51685
2023-04-20 06:17:26.364182,-0.60092
2023-04-20 06:17:26.365182,-0.68187
2023-04-20 06:17:26.366182,-0.75971
2023-04-20 06:17:26.367182,-0.84377
2023-04-20 06:17:26.368182,-0.92161
2023-04-20 06:17:26.369182,-1.00256
2023-04-20 06:17:26.370182,-1.07729
2023-04-20 06:17:26.371182,-1.15513
2023-04-20 06:17:26.372182,-1.22674
