Controller name: ILD1420, Controller serial number: 18040260, Controller option: 000, Controller article number: 4120216, Measurement range: 200.000 mm, Measurement rate: 1.000 kHz, Controller software version: 001.028, Controller hardware revision: 01, Boot loader version: 001.006, CableHead: : Wire, User level: 1, Default user: 1, Echo: 0, Display unit: 0: mm, Trigger mode: 0: none, Trigger moment: 0: input, Trigger count: 1, Multi function input mode: 0: none, Multi function input level: 0: high, Laser power: 0: full, Region of interest start: 0, Region of interest end: 511, Average type: 3: median, Median average count: 9, Master value set: 0: off, Data out interface: 0: Web diagram, Resampling count: 1, Resampling RS422 output: 0: off, Resampling analog output: 0: off, Hold last valid value: -1: show all error values, Error output1: 1: on, Error level output1: 0 NPN, Key function: 2: Teach, Analog scale mode: 0: standard, Current settings names: 1000Hz, Available settings names: 1000Hz, 1000 Hz, Preset names: Standard, Distance1 RS422 output: 1: on, Shutter time RS422 output: 0: off, Measurement value counter RS422 output: 0: off, Timestamp high word RS422 output: 0: off, Timestamp low word RS422 output: 0: off, Intensity RS422 output: 0: off, State RS422 output: 0: off, Distance uncalibrated RS422 output: 0: off, 
DAQ-Start-Time:, 2023-04-12 09:53:34.961, 
Snapshot Time Stamp, Distance [mm]
2023-04-12 09:54:27.053403,   19.83223
2023-04-12 09:54:27.054403,   19.86648
2023-04-12 09:54:27.055403,   19.89762
2023-04-12 09:54:27.056403,   19.92875
2023-04-12 09:54:27.057403,   19.95678
2023-04-12 09:54:27.058403,   19.98480
2023-04-12 09:54:27.059403,   20.00971
2023-04-12 09:54:27.060403,   20.03462
2023-04-12 09:54:27.061403,   20.05641
2023-04-12 09:54:27.062403,   20.07509
2023-04-12 09:54:27.063403,   20.09066
2023-04-12 09:54:27.064403,   20.10311
2023-04-12 09:54:27.065403,   20.11245
2023-04-12 09:54:27.066403,   20.11245
2023-04-12 09:54:27.067403,   20.11245
2023-04-12 09:54:27.068403,   20.11245
2023-04-12 09:54:27.069403,   20.11245
2023-04-12 09:54:27.070403,   20.11245
2023-04-12 09:54:27.071403,   20.10311
2023-04-12 09:54:27.072403,   20.09066
2023-04-12 09:54:27.073403,   20.07509
2023-04-12 09:54:27.074403,   20.05641
2023-04-12 09:54:27.075403,   20.03773
2023-04-12 09:54:27.076403,   20.01282
2023-04-12 09:54:27.077403,   19.98791
2023-04-12 09:54:27.078403,   19.95678
2023-04-12 09:54:27.079403,   19.92875
2023-04-12 09:54:27.080403,   19.89762
2023-04-12 09:54:27.081403,   19.86648
2023-04-12 09:54:27.082403,   19.83223
2023-04-12 09:54:27.083403,   19.80110
2023-04-12 09:54:27.084403,   19.76374
2023-04-12 09:54:27.085403,   19.72949
2023-04-12 09:54:27.086403,   19.69524
2023-04-12 09:54:27.087403,   19.66099
2023-04-12 09:54:27.088403,   19.62985
2023-04-12 09:54:27.089403,   19.59872
2023-04-12 09:54:27.090403,   19.56758
2023-04-12 09:54:27.091403,   19.53645
2023-04-12 09:54:27.092403,   19.51154
2023-04-12 09:54:27.093403,   19.48663
2023-04-12 09:54:27.094403,   19.46172
2023-04-12 09:54:27.095403,   19.44615
